"","GSPC.Adjusted","time"
"147",5.19960137705259,1985.28767123288
"148",5.20224685926802,1985.2904109589
"149",5.1976126403074,1985.29315068493
"150",5.19910458699795,1985.29589041096
"151",5.19683818099608,1985.30410958904
"152",5.20334715644746,1985.30684931507
"153",5.20543421163464,1985.3095890411
"154",5.21183308516456,1985.31232876712
"155",5.20499517089313,1985.31506849315
"156",5.19645076782536,1985.32328767123
"157",5.19201197129872,1985.32602739726
"158",5.18386001653859,1985.32876712329
"159",5.1874416422707,1985.33150684932
"160",5.19340120770465,1985.33424657534
"161",5.19290132157071,1985.34246575342
"162",5.19717015688209,1985.34520547945
"163",5.19639534914023,1985.34794520548
"164",5.20356701900838,1985.35068493151
"165",5.21645633464119,1985.35342465753
"166",5.2182454971993,1985.36164383562
"167",5.21422895897262,1985.36438356164
"168",5.21786620421825,1985.36712328767
"169",5.22391706551655,1985.3698630137
"170",5.23335207702446,1985.37260273973
"171",5.24554930628031,1985.38082191781
"172",5.24512753276077,1985.38356164384
"173",5.23941624802117,1985.38630136986
"174",5.23431206855507,1985.38904109589
"175",5.23798329033164,1985.39178082192
"176",5.23569700988948,1985.40273972603
"177",5.23473834760764,1985.40547945205
"178",5.23511129064424,1985.40821917808
"179",5.2446528577893,1985.41095890411
"180",5.24343874201248,1985.41917808219
"181",5.24723453948437,1985.42191780822
"182",5.24786584408686,1985.42465753425
"183",5.25258750437395,1985.42739726027
"184",5.24533840485289,1985.4301369863
"185",5.24444176719489,1985.43835616438
"186",5.24195859584945,1985.44109589041
"187",5.23436534538573,1985.44383561644
"188",5.22213803060078,1985.44657534247
"189",5.23164326534846,1985.44931506849
"190",5.2285920786954,1985.45753424658
"191",5.23292512642943,1985.4602739726
"192",5.22912807398601,1985.46301369863
"193",5.22966370180968,1985.46575342466
"194",5.2449693363201,1985.46849315068
"195",5.24254031935818,1985.47671232877
"196",5.24565474031658,1985.47945205479
"197",5.24733980126018,1985.48219178082
"198",5.25347687115766,1985.48493150685
"199",5.25671384796739,1985.48767123288
"200",5.2597324148556,1985.49589041096
"201",5.25754742796451,1985.49863013699
"202",5.25462666225342,1985.50136986301
"203",5.26020006521197,1985.50684931507
"204",5.25713068574616,1985.51506849315
"205",5.2525351895956,1985.51780821918
"206",5.25942057492651,1985.52054794521
