"","A","B","C","loss","t_c","m","omega","phi"
"42",10,-0.6,0.03,1.37142945501286,1997.80841693164,0.431989253063997,8.91313222403793,5.65333819350011
"43",9.925,-0.5,0.05,1.39802564579957,1997.89407988923,0.506688979795824,10.1039867132592,6.08025277638894
"44",9.925,-0.6,0.03,1.41081695386118,1997.6475196559,0.368299595049272,7.30687111317335,3.49143628771092
"45",9.925,-0.3,0.02,1.41650453587011,1998.69550010568,0.855035574175417,10.9504739771752,5.28124577342774
"46",9.775,-0.3,0.04,1.4217029097322,1998.05893285035,0.87076911010469,8.04018718923908,0.385016271408361
"47",10,-0.3,0.02,1.42903491227038,1998.90924122765,0.887741704471409,12.4024236052452,1.52946112222914
"48",9.925,-0.6,0.05,1.44659761928678,1997.61710637442,0.366057706593225,7.1105665298334,2.64624399253549
"49",10,-0.3,0.01,1.44676023302221,1998.93102171961,0.876487404635797,7.04484992322978,0.310332820794299
"50",9.85,-0.5,0.05,1.45124088164656,1997.72980483177,0.423903290834278,8.44031662699611,4.03206917877612
"51",9.925,-0.6,0.04,1.4577967746188,1997.63616168893,0.316573616396636,6.95691939121267,2.5522783773095
"52",10,-0.5,0.05,1.48056826536051,1998.13516137755,0.546258291974664,10.6892364609909,0.827223778821262
"53",9.925,-0.4,0.04,1.4913596812514,1998.36233116708,0.647350221437712,12.891340204437,4.7341085388972
"54",9.85,-0.4,0.05,1.52642482320792,1998.1178164177,0.572926074576875,10.4174947052961,0.990066929008295
"55",9.925,-0.4,0.05,1.57355319827099,1998.262655474,0.629249053572615,11.4956360635891,2.4041272707241
"56",9.925,-0.6,0.02,1.57911645325477,1997.60421783421,0.370014432569345,7.57708413735963,3.08610524023631
"57",9.85,-0.3,0.04,1.59802577603483,1998.44051681558,0.800325082428753,12.9259303235061,4.50175640442196
"58",10,-0.2,0.04,1.6049033233737,2001.38743206679,0.754214614164084,6.0719527231995,1.86496643829414
"59",9.7,-0.3,0.05,1.68665348846797,1997.7445252172,0.796616916575779,6.52905802673195,4.13269700583379
"60",9.925,-0.6,0.01,1.72527779546394,1997.62629241037,0.360203995493551,8.83836532376396,4.20889615734287
"61",10,-0.4,0.03,1.74215570202558,1998.58642597425,0.712134584380935,12.2764671862048,5.01963188242195
"62",10,-0.4,0.04,1.78139318640509,1998.42857456276,0.769492005712042,10.4436280795295,4.21657998972534
"63",10,-0.2,0.05,1.78345391678649,2001.49204161506,0.711904217333843,6.27036208620605,2.1495707742433
"64",9.925,-0.3,0.03,1.80067667565075,1998.63195827113,0.825029063597322,12.5104422554141,5.88502804301708
"65",9.925,-0.2,0.02,1.80347859554841,1999.80223501247,0.892920047820856,6.39220273060103,5.94904049468787
"66",9.775,-0.3,0.05,1.89855743725136,1998.07578282841,0.778117357908438,9.16635232030725,0.249437239220326
"67",9.925,-0.2,0.03,1.91920243908223,2000.32985646718,0.795942132609586,6.5308056716652,0.822333546993954
"68",9.85,-0.2,0.05,2.00890105570169,2000.44838168742,0.668047230194012,6.39844681807638,0.913424679118572
"69",10,-0.2,0.03,2.03213372990876,2000.6231323028,0.857006770030906,6.11802505577604,1.35136240361883
"70",9.7,-0.1,0.05,2.09121812790553,2001.58931227329,0.782620172885557,7.01778514124453,3.46496639135063
"71",10,-0.3,0.03,2.10448212184227,1998.99927430063,0.881740330780546,8.60841878006856,3.49591994851529
"72",10,-0.7,0.02,2.11369907332258,1997.62144363491,0.28759101262937,6.48600658359161,2.34850136389133
"73",9.85,-0.2,0.04,2.15260265384883,2000.3478948577,0.715669839084148,6.01905750141789,0.333160165488642
"74",10,-0.4,0.05,2.16592411077472,1998.53205427875,0.686793363622079,12.4846985076244,5.77081199744509
