"","A","B","C","loss","t_c","m","omega","phi"
"18",5.8,-0.3,0.03,1.03476858663192,1987.7476370389,0.706326556050529,6.40215159506382,2.37837989936273
"19",5.9,-0.4,0.04,1.06255247705647,1987.69003196651,0.624988251272589,6.38466172285068,1.33568291981587
"20",5.9,-0.4,0.03,1.06900440122094,1987.81087459035,0.591513227298856,6.3784752463301,2.28282935186271
"21",6.1,-0.6,0.05,1.06973649452024,1987.79978629358,0.399833714775741,6.62488473268847,2.85204174103586
"22",6.2,-0.6,0.04,1.08000697506547,1988.09807034754,0.512115355643133,11.382827804191,5.79836032092811
"23",6.1,-0.5,0.04,1.09933484725121,1988.08141140439,0.5582507594799,7.87983867467847,4.01692089808276
"24",6.1,-0.6,0.02,1.13269766167434,1987.82246594147,0.410226961815109,6.50346978280383,2.9872011368796
"25",6,-0.5,0.03,1.14592429220762,1987.77860791625,0.52484315118442,7.72124917246401,2.25344960903849
"26",5.9,-0.3,0.04,1.18759626492883,1988.04158244128,0.87690006531775,10.5782684069515,4.85207375360475
"27",5.9,-0.4,0.02,1.18827775010743,1987.72139264923,0.677668498114993,11.5134017666957,4.10740672785886
"28",5.8,-0.3,0.05,1.20434084818762,1987.70108773886,0.74548272282506,6.6410297563998,1.91964605242241
"29",6,-0.5,0.01,1.24976494910981,1987.77795866133,0.538163448559741,7.58401047713899,1.45822723268981
"30",5.8,-0.3,0.04,1.2851035638915,1987.79702976393,0.693089887841294,6.51409991570593,2.49627310192783
"31",6.1,-0.5,0.05,1.31038380969252,1988.06232481202,0.571810747248431,8.50882549320037,4.74817653431805
"32",6.2,-0.6,0.05,1.32482484392779,1988.078958862,0.479226459438602,7.04814928385895,4.04742554079214
"33",6,-0.5,0.05,1.32927403122025,1987.78194942404,0.432368900906295,6.51216511537011,2.36987510124852
"34",6.2,-0.7,0.02,1.32969142581383,1987.84776148573,0.355050501817217,6.71687655329394,2.57939704809194
"35",6.2,-0.7,0.03,1.33127491189258,1987.85572408901,0.368067355609189,7.54913818556815,3.11175307440774
"36",6.1,-0.6,0.01,1.36439354286874,1987.81340195364,0.423983081864814,12.492059501276,4.82607176013259
"37",6,-0.5,0.04,1.36988613663483,1987.80630876063,0.495249446015805,7.90843044535723,3.35225846948948
"38",6.2,-0.7,0.01,1.42028047103222,1987.79955645574,0.383101336658001,6.80403329148733,1.47863978898138
"39",6,-0.4,0.04,1.47300617901327,1987.97556857766,0.67049818020314,7.12581842307312,2.98120201899988
"40",6.1,-0.6,0.04,1.51862876198673,1987.83991782725,0.434232503082603,8.0276461452789,3.57089290622849
"41",6.2,-0.7,0.05,1.52357869795601,1987.81828341277,0.324372006735454,6.97577201543997,3.29683297853245
"42",5.9,-0.4,0.05,1.53855145334681,1987.66588662798,0.539387614279985,6.52263389880924,2.10937433363735
"43",6,-0.4,0.05,1.66500239112117,1988.08611833802,0.59898150820906,6.55201443016995,3.21216723423388
"44",5.9,-0.3,0.05,1.78567473503256,1988.08077223134,0.751068821425239,7.17545756449302,3.71806398107353
"45",6.2,-0.7,0.04,1.97283961822905,1987.82878420521,0.313302606157959,6.63367735105567,2.3425189579001
"46",5.9,-0.5,0.02,3.49672710627943,1987.61440717849,0.462835679234316,11.3762956434706,3.4643173211752
"47",6,-0.6,0.01,3.58109103689743,1987.62859608079,0.35084060303246,8.36656428625186,0.98529770537575
"48",5.9,-0.5,0.01,3.59293609346916,1987.62405258899,0.410285936606427,11.7983620204808,2.47305695847084
"49",6.2,-0.8,0.02,3.59589425064081,1987.63893200536,0.278562451464434,12.1406512583684,3.09189793037843
"50",6.1,-0.7,0.01,3.60815417639377,1987.63199804724,0.299703220340113,7.77512395459538,2.20164464649101
"51",6.1,-0.7,0.05,3.62516629586033,1987.62115878846,0.299651578534395,6.04565835969212,0.832815747093948
"52",5.9,-0.5,0.03,3.67207528125031,1987.62827552173,0.451607800181955,9.18596700478035,1.95228098059054
"53",6.2,-0.8,0.01,3.72149084062656,1987.65258313546,0.274794774036855,6.07784196284289,1.07097508215192
"54",6,-0.6,0.03,3.72608640186943,1987.6244302063,0.406199810809145,8.86857395626915,1.7675926357549
"55",6.2,-0.8,0.03,3.76737077362742,1987.65096117604,0.257386103055129,7.10771887908535,2.00634698470234
"56",5.8,-0.4,0.02,3.78114554105815,1987.62375185717,0.527036968370279,10.9452072842978,3.15308331626773
"57",5.9,-0.5,0.04,3.78294097554564,1987.61961288751,0.392856912314892,12.4228274836593,3.36207732425943
